S,T,Time,Memory,Length,Delta
10,10,0.0039,28,1,0.070
10,10,0.0100,28,1,1.473
10,10,0.0096,28,1,2.877
10,10,0.0053,28,1,4.280
10,10,0.2895,28,1,5.683
10,10,0.0072,28,1,7.087
10,10,0.0114,28,1,8.490
10,10,0.0117,28,1,9.893
10,10,0.0111,28,1,11.297
10,10,0.0123,28,1,12.700
10,100,0.0207,28,6,0.070
10,100,0.0367,28,6,1.473
10,100,0.0381,28,6,2.877
10,100,0.0390,28,2,4.280
10,100,0.0359,28,2,5.683
10,100,0.8044,28,2,7.087
10,100,0.1620,28,2,8.490
10,100,0.2621,28,2,9.893
10,100,0.2232,28,2,11.297
10,100,0.0441,28,2,12.700
10,1000,0.3331,28,6,0.070
10,1000,0.1576,28,6,1.473
10,1000,0.3279,29,2,2.877
10,1000,0.3015,29,2,4.280
10,1000,0.3001,29,2,5.683
10,1000,0.4096,29,2,7.087
10,1000,0.3089,29,2,8.490
10,1000,0.3102,29,2,9.893
10,1000,0.3080,29,2,11.297
10,1000,0.3346,29,2,12.700
100,1000,1.7352,30,66,0.070
100,1000,1.2254,32,6,1.473
100,1000,1.1133,33,6,2.877
100,1000,1.7190,34,2,4.280
100,1000,1.3382,35,2,5.683
100,1000,1.2038,36,2,7.087
100,1000,1.9615,38,2,8.490
100,1000,1.3912,39,2,9.893
100,1000,1.9634,40,2,11.297
100,1000,1.7057,41,2,12.700
1000,1000,10.3124,53,611,0.070
1000,1000,14.0900,22,16,1.473
1000,1000,8.1075,34,3,2.877
1000,1000,7.7619,45,3,4.280
1000,1000,7.8603,57,3,5.683
1000,1000,7.9237,68,3,7.087
1000,1000,12.0444,24,3,8.490
1000,1000,7.8275,35,3,9.893
1000,1000,7.7605,47,3,11.297
1000,1000,8.0944,58,3,12.700
